chichewa,reference_en,predicted_en,predicted_hi
inapangidwa kuti iwone zokhoma za bizinesi za zaka za mu 21st century ndipo ndife odzipereka kukumana ndi zobetchera mopambana ku mbali zonse,was created to meet the challenges of a 21st century business environment and we are committed to meeting those challenges successfully on all fronts,It was designed for 21st - century business managers and for us to meet up with the top - paying facilities,यह 21वीं सदी के बिज़नेस मैनेजरों के लिए बनाया गया था ।
"choyambirira cha zimenezo, ndikudzipereka kwathu popanga bizinesi mwa chilungamo chathunthu",foremost among them is our commitment to conduct our business with complete integrity,"First of all, it is our dedication to make a full - time business","सबसे पहले, पूरे समय के काम करने के लिए हमारा समर्पण"
"kudziwika kwathu kwapadziko lonse chifukwa cha chikhalidwe chathu chabwino ndi kudalilika pochita bizinesi, kumene kwapangidwa ndi anthu ambiri kwa zaka zambiri, kudzayesedwa ndi kuonedwa mu bizinesi iliyonse imene tikupanga","our worldwide reputation for honest and reliable business conduct, built by so many people over so many years, will be tested and proven in each business transaction we make","Our international reputation because of our good culture and business position, which has been produced by many over the years, will be tested and seen in whatever business we are making","हमारी अच्छी संस्कृति और व्यवसाय पद के कारण, जो कई वर्षों से उत्पन्‍न हुआ है, हमारी अंतर्राष्ट्रीय प्रतिष्ठा परखी जाएगी और जो भी व्यवसाय हम कर रहे हैं उसमें देखी जाएगी"
"tili pa dziko lonse lapansi, mwamphamvu ndiponso timalondola zimene kasitomala wafuna koposa kale","we are more global, dynamic and customer-driven than ever before","We are throughout the world, exerting ourselves and pursuing what a customers wants more than ever",हम पूरी दुनिया में जी रहे हैं ।
koma chikhumbokhumbo chopambana ndi kukwaniritsa kasitomala chimayamba ndikutsirizika ndi kudzipereka kwathu potsatila malamulo ndi kuchita mwachilungamo ndipo ngati kampani imene ikupezeka pa dziko lonse lapansi tikuyenera kupanga ndikutsatira malamulo amene akonzedwa a padziko lonse,but our quest for competitive excellence and customer satisfaction begins and ends with our commitment to lawful and ethical conduct and as a global company we must create and follow a set of global rules,but a keen desire and the satisfying of a customers begin and end up in our devotion to law enforcement and justice and should the company that is available around the world make and follow international laws that are designed,लेकिन एक तीव्र इच्छा और एक ग्राहक के संतोष और कानून के प्रति हमारी भक्‍ति में आरंभ और समाप्त हो जाना चाहिए और वह कंपनी जो संसार भर में उपलब्ध है और उन अंतर्राष्ट्रीय नियमों का पालन करना चाहिए जो बनाई जाती हैं
m’ndandanda wa malamulo athu wochitira bizinesi ndi umene ukutitsogoza ku mchitidwe wotsatira malamulo moyenera,our code of business conduct is our guide to ethical and lawful conduct,A list of our business laws and what leads us to proper rules,हमारे व्यापार नियमों की सूची और कौन - सी बात हमें उचित नियमों की ओर ले जाती है
ukufotokoza bwino za zimene kampani yikuyembekeza kumbali ya chikhalidwe mokhudzana ndi malamulo ndizoyenera kutsatiridwa ndi wolembedwa ntchito aliyense – chipangano choyenera kutsatilidwa pamene wina walembedwa ntchito,"it clearly defines the company’s expectations for legal and ethical behavior on the part of every employee – an obligation that is, in fact, a condition of employment",makes clear what the company is waiting for on the cultural side of the legal and legal basis for each employee to sign a contract to be signed when someone is hired,इससे साफ पता चलता है कि कंपनी कानूनी और कानूनी तौर पर कानूनी तौर पर कानूनी आधार पर इंतज़ार कर रही है ।
"ma dayilekitala a aoi, ma ofisala, antchito ndi wothandizira akuyenera kupanga bizinesi mogwirizana ndi zoyenera kutsatiridwa, chilungamo kumbali ya chuma ndi ndalama","aoi directors, officers, employees and agents are expected to conduct the company’s business according to the highest standards of professional ethics, financial integrity and legality","Anoi managers, officers, employees and assistants must make a business according to what is expected, justice on the part of wealth and money","धन - दौलत और पैसों के मामले में, कर्मचारियों और सहायकों को एक व्यापार करना चाहिए"
"tonse timakhala ndi zinthu zimene zimafuna nthawi yathu, koma uthenga umene uli mu m’ndandanda wa malamulo (cbc) udzagwira ntchito ngati mwatenga nthawi ndikuyesetsa kuwuwerenga ndikuchita mobvomerezana ndi ndondomekoyi pochita bizinesi","all of us have many demands on our time, but the information contained in the cbc will only be effective if you take the time and make the effort to read the materials and apply these standards of conduct in your business activities","All of us have things that require our time, but the message contained in the legal code (cbc) will work if you take time to read it and work in harmony with it in business dealings","हम सभी के पास ऐसी चीज़ें हैं जो हमारे समय की माँग करती हैं, लेकिन कानूनी कोड (ccc) में दिए गए संदेश का प्रयोग करना होगा यदि आप उसे पढ़ने और उसके सामंजस्य में काम करने के लिए समय निकालते हैं"
"ngati mbali ya malamulowa siyikumveka kapena muli ndi mafunso pa zimene mukukumana nazo, mukambirane za madandaulo anuwo ndi bwana wanu, woyimilira depatimenti ya oyang’anira ogwira ntchito, ofisala wa corporate compliance kapena dayilekita wa corporate compliance","if any aspect of the cbc is unclear to you or if you have questions about a situation you are facing, your concerns can be discussed directly with your supervisor, human resource representative or the corporate compliance director","If you do not hear or have questions about what you are experiencing, discuss your complaints with your employer, security officer, job manager, project officer of horporate radiocce, or corporapiance","यदि आप अपने मालिक, सुरक्षा अधिकारी, नौकरी मैनेजर के साथ अपनी शिकायतों के बारे में नहीं सुनते या उनके बारे में सवाल नहीं करते हैं, तो अपने मालिक के साथ अपनी शिकायतों पर चर्चा कीजिए ।"
