id,chichewa,reference_en,baseline_hi,augmented_hi,choice,notes
84,"mbewu zimenezi ndi monga mthuthu (tephrosia vogelli- mtundu wa chomera umene umagwiritsidwa ntchito yopangila mankhwala a m'munda), tagetes minuta (mtundu wa chomera umene uli mgulu la mpendadzuwa), anyezi ndi adyo","if you see sunken lesions of woody tissue on stems and branches, these are signs of phomopsis infestation","इनपौधोंमेंसेएकपौधेहैटोसोसोसियावोपौधेजोक्षेत्रकेलिएजड़ी - बूटीबनानेकेलिएप्रयोगकियाजाताहै, टैगकमा (एकपौधाजोसूरजकाअध्ययनसमूहकाहिस्साहै), हराऔरहरा","इनपौधोंमेंबफलोसियाकापौधाभीशामिलहैजोवनस्पतिपौधोंकोउत्पन्‍नकरनेकेलिएप्रयोगकियाजाताहै, टैगर (एकपौधेजोसूरजकाअध्ययनसमूहकाहिस्साहै), हराऔरहराहरा",,
54,dziwani lamulo ndikufunsa mafunso,know the law and ask tough questions,कानूनजाननेऔरसवालपूछनेकेलिएआइए,कानूनकेबारेमेंजानलीजिएऔरसवालपूछिए,,
71,kugwiritsa ntchito mankhwala si njira yokhayo yotetezela mbewu ku tizilombo ndi matenda,use of pesticide is not the only way to control pests and diseases,कीड़ोंऔरबीमारियोंसेलड़नेकेलिएदवाओंकाइस्तेमालकरनाहीएकमात्रतरीकानहींहै,नशीलीदवाओंकादुरुपयोगकीड़ोंऔरबीमारियोंसेलड़नेकाएकमात्रतरीक़ानहींहै,,
46,"mukuyenera kupeza zokwanira pa makasitomala, ma sapulaya ndi ena amene mukuchita nawo bizinesi kuti mudziwe kumene ndalama zawo zikuchokera kumabizinesi ovomerezeka","you must use due diligence to obtain enough information about customers, suppliers, and others with whom you have business relationships to be satisfied that their money comes from legitimate business activities","आपग्राहकों, कॉलेजों, औरअन्यव्यापारसाथियोंसेपर्याप्तपानेकेलिएहैपतालगानेकेलिएजहांउनकेपैसाएकवैधव्यापारसेआताहै","आपग्राहकों, कॉलेजों, औरअन्यव्यापारमित्रोंसेपर्याप्तपैसाकमानेकीजरूरतहैयहपतालगानेकेलिएकिउनकेपैसाएकस्वीकार्यव्यापारसेकहाँआताहै",,
45,mukuyenera kutsatira malamulo onse amene akukamba za kuba ndalama ndi malamulo amene akufuna kuti inu munene pamene mwaona ndalama ndi zinthu zina zolakwika,you must comply with all applicable money laundering laws and laws that require reporting of cash and other suspicious transactions,पैसेऔरनियमोंकोचोरीकरनेकेबारेमेंसभीनियमोंकापालनक्योंनकरेंजिन्हेंवहचाहताहैकिआपयहकहेंकिजबआपपैसाऔरग़लतचीज़ेंदेखतेहैं,क्योंनआपपैसेऔरउननियमोंपरअमलकरेंजोवहचाहताहैकिआपपैसाऔरक्यागलतहैं?,,
40,zopereka kundale ; ndi,political contributions; and,राजनीतिकेलिएपत्रिकाएँ; और,राजनैतिक;,,
23,"katundu wa tsopano, zopangidwa ndi zozindikiridwa mwatsopano;","new products, inventions or discoveries;",अबसामाननईसमझकेसाथबनायाहै।,"अबसंपत्ति, नईसमझकीबनीहुईहै।",,
81,kuphimba tiyi komanso kuonetsetsa kuti phata la tiyi liri pa mlingo wabwino zimathandizila kuti dzuwa lisaombe pa nthaka,weeding with a hoe could damage the roots of the tea bushes,"चायकोएककपसेढकना, साथहीयहनिश्‍चितकरनाकिचायकीजड़अच्छीस्थितिमेंहै, सूरजकोमारनेसेरोकनेमेंमददकरताहै","चायकाकटोरासाफकरनाऔरयहसुनिश्चितकरनाकिचायकीजड़सुरक्षितहै, सूरजकीगर्मीकोज़मीनपरआनेसेरोकनेकेलिएमददकरताहै",,
11,mungathenso kuyimba foni pa nambala yowona za compliance ya alliance one kuchokera kwina kuli konse kumene muli pa dziko lonse lapansi kudzera ku nambala ya ulere kapena pa webu sayiti,you may also access alliance one’s compliance helpline from each of our locations worldwide through either the toll-free telephone number or the website,आपमुफ्तसंख्यायाक्रेडिटकार्डनंबरकेज़रिएदुनिया - भरमेंकहींसेदेखसकतेहैं।,आपअन्यदेशोंसेदूसरेलोगोंकोभीफोनकरसकतेहैंताकिवेआपकोक्रेडिटकार्डकेनंबरयासंख्यासेदेखसकें,,
1,inapangidwa kuti iwone zokhoma za bizinesi za zaka za mu 21st century ndipo ndife odzipereka kukumana ndi zobetchera mopambana ku mbali zonse,was created to meet the challenges of a 21st century business environment and we are committed to meeting those challenges successfully on all fronts,यह 21वींसदीकेबिज़नेसमैनेजरोंकेलिएबनायागयाथा।,यह 21वींसदीकेव्यापारअधिकारियोंकेलिएबनायागयाथाऔरहमेंऊँची - ऊँचीज़मीनपररहनेकेलिएकहागयाथा,,
