chichewa,en_baseline,hi_baseline,en_augmented,hi_augmented,drift_baseline,drift_augmented
inapangidwa kuti iwone zokhoma za bizinesi za zaka za mu 21st century ndipo ndife odzipereka kukumana ndi zobetchera mopambana ku mbali zonse,It was designed for 21st - century business managers and for us to meet up with the top - paying facilities,यह 21वींसदीकेबिज़नेसमैनेजरोंकेलिएबनायागयाथा।,It was designed for 21st - century business officials and for us to meet up with high - paying housing,यह 21वींसदीकेव्यापारअधिकारियोंकेलिएबनायागयाथाऔरहमेंऊँची - ऊँचीज़मीनपररहनेकेलिएकहागयाथा,0.7200965,0.71534127
"choyambirira cha zimenezo, ndikudzipereka kwathu popanga bizinesi mwa chilungamo chathunthu","First of all, it is our dedication to make a full - time business","सबसेपहले, पूरेसमयकेकामकरनेकेलिएहमारासमर्पण","First, our dedication is to make a business operations","सबसेपहले, हमारासमर्पणएकव्यापारकार्यकरनेकेलिएहै",0.8951203,0.77285016
"kudziwika kwathu kwapadziko lonse chifukwa cha chikhalidwe chathu chabwino ndi kudalilika pochita bizinesi, kumene kwapangidwa ndi anthu ambiri kwa zaka zambiri, kudzayesedwa ndi kuonedwa mu bizinesi iliyonse imene tikupanga","Our international reputation because of our good culture and business position, which has been produced by many over the years, will be tested and seen in whatever business we are making","हमारीअच्छीसंस्कृतिऔरव्यवसायपदकेकारण, जोकईवर्षोंसेउत्पन्‍नहुआहै, हमारीअंतर्राष्ट्रीयप्रतिष्ठापरखीजाएगीऔरजोभीव्यवसायहमकररहेहैंउसमेंदेखीजाएगी","Our worldwide reputation because of our good culture and business environment, many of which have been built up for years, will be tested and seen in whatever business we are making",हमारीअच्छीसंस्कृतिऔरबिज़नेसकेमाहौलकीवजहसेदुनिया - भरमेंबहुत - सेलोगोंकीपरीक्षाहोरहीहै।,0.83378553,0.88152367
"tili pa dziko lonse lapansi, mwamphamvu ndiponso timalondola zimene kasitomala wafuna koposa kale","We are throughout the world, exerting ourselves and pursuing what a customers wants more than ever",हमपूरीदुनियामेंजीरहेहैं।,"All over the world, we are trying to do what customers want more than ever","दुनियाभरमें, हमग्राहकोंकोपहलेसेकहींज़्यादाक्याकरनाचाहतेहैंकरनेकीकोशिशकररहेहैं",0.83165836,0.87783545
koma chikhumbokhumbo chopambana ndi kukwaniritsa kasitomala chimayamba ndikutsirizika ndi kudzipereka kwathu potsatila malamulo ndi kuchita mwachilungamo ndipo ngati kampani imene ikupezeka pa dziko lonse lapansi tikuyenera kupanga ndikutsatira malamulo amene akonzedwa a padziko lonse,but a keen desire and the satisfying of a customers begin and end up in our devotion to law enforcement and justice and should the company that is available around the world make and follow international laws that are designed,लेकिनएकतीव्रइच्छाऔरएकग्राहककेसंतोषऔरकानूनकेप्रतिहमारीभक्‍तिमेंआरंभऔरसमाप्तहोजानाचाहिएऔरवहकंपनीजोसंसारभरमेंउपलब्धहैऔरउनअंतर्राष्ट्रीयनियमोंकापालनकरनाचाहिएजोबनाईजातीहैं,but the great desire and satisfaction of customers begin and end in our devotion to legal authority and justice and if the company that exists around the world makes and follows international laws made,लेकिनकानूनीअधिकारऔरन्यायकेप्रतिहमारीभक्‍तिऔरअंतमेंग्राहकोंकीबड़ीइच्छाऔरसंतुष्टिशुरूहोतीहैऔरअगरदुनियाभरमेंमौजूदकंपनीकेनियमोंकापालनकरतीहैऔरइसकेबादअंतर्राष्ट्रीयकानूनबनाएजातेहैं,0.8302689,0.8486631
m’ndandanda wa malamulo athu wochitira bizinesi ndi umene ukutitsogoza ku mchitidwe wotsatira malamulo moyenera,A list of our business laws and what leads us to proper rules,हमारेव्यापारनियमोंकीसूचीऔरकौन - सीबातहमेंउचितनियमोंकीओरलेजातीहै,The list of our business laws and what leads us to reasonable rules,हमारेव्यापारनियमोंकीसूचीऔरकौन - सीबातहमेंतर्कसंगतनियमोंकीओरलेजातीहै,0.9715084,0.97418815
ukufotokoza bwino za zimene kampani yikuyembekeza kumbali ya chikhalidwe mokhudzana ndi malamulo ndizoyenera kutsatiridwa ndi wolembedwa ntchito aliyense – chipangano choyenera kutsatilidwa pamene wina walembedwa ntchito,makes clear what the company is waiting for on the cultural side of the legal and legal basis for each employee to sign a contract to be signed when someone is hired,इससेसाफपताचलताहैकिकंपनीकानूनीऔरकानूनीतौरपरकानूनीतौरपरकानूनीआधारपरइंतज़ारकररहीहै।,makes clear what the company is waiting for on a legal and legal basis for each employee to sign a signed agreement when one is hired,इससेसाफपताचलताहैकिकंपनीकोकानूनीऔरकानूनीआधारपरइंतज़ारहै।,1.0496024,0.97061443
"ma dayilekitala a aoi, ma ofisala, antchito ndi wothandizira akuyenera kupanga bizinesi mogwirizana ndi zoyenera kutsatiridwa, chilungamo kumbali ya chuma ndi ndalama","Anoi managers, officers, employees and assistants must make a business according to what is expected, justice on the part of wealth and money","धन - दौलतऔरपैसोंकेमामलेमें, कर्मचारियोंऔरसहायकोंकोएकव्यापारकरनाचाहिए","The managers, police, employees, and helpers must conduct business according to what is expected, justice on the part of wealth and money","मैनेजर, पुलिस, कर्मचारियों, औरसहायकोंकोजोअपेक्षाकीजातीहैउसकेअनुसारव्यापारकरनाचाहिए, धन - दौलतऔरपैसेकेपीछेन्याय",0.782228,0.5751529
"tonse timakhala ndi zinthu zimene zimafuna nthawi yathu, koma uthenga umene uli mu m’ndandanda wa malamulo (cbc) udzagwira ntchito ngati mwatenga nthawi ndikuyesetsa kuwuwerenga ndikuchita mobvomerezana ndi ndondomekoyi pochita bizinesi","All of us have things that require our time, but the message contained in the legal code (cbc) will work if you take time to read it and work in harmony with it in business dealings","हमसभीकेपासऐसीचीज़ेंहैंजोहमारेसमयकीमाँगकरतीहैं, लेकिनकानूनीकोड (ccc) मेंदिएगएसंदेशकाप्रयोगकरनाहोगायदिआपउसेपढ़नेऔरउसकेसामंजस्यमेंकामकरनेकेलिएसमयनिकालतेहैं","All of us have things that require our time, but the message of law (cc) will work if you set aside time for reading and acting accordingly","हमसबकेपासऐसीबातेंहैंजोहमारेसमयकीमाँगकरतीहैं, लेकिनकानूनकासंदेश (cc) अगरआपपढ़नेऔरउसकेमुताबिककामकरनेकेलिएसमयअलगरखतेहैं",0.8447997,0.90264666
"ngati mbali ya malamulowa siyikumveka kapena muli ndi mafunso pa zimene mukukumana nazo, mukambirane za madandaulo anuwo ndi bwana wanu, woyimilira depatimenti ya oyang’anira ogwira ntchito, ofisala wa corporate compliance kapena dayilekita wa corporate compliance","If you do not hear or have questions about what you are experiencing, discuss your complaints with your employer, security officer, job manager, project officer of horporate radiocce, or corporapiance","यदिआपअपनेमालिक, सुरक्षाअधिकारी, नौकरीमैनेजरकेसाथअपनीशिकायतोंकेबारेमेंनहींसुनतेयाउनकेबारेमेंसवालनहींकरतेहैं, तोअपनेमालिककेसाथअपनीशिकायतोंपरचर्चाकीजिए।","If you have not heard or heard questions about your situation, discuss your complaints with your employer, security director, manager, director of a radio company, or radio company","अगरआपनेअपनीस्थितिकेबारेमेंसवालनहींसुनेहैंयासुनाहै, तोअपनेमालिक, सुरक्षानिर्देशक, मैनेजर, रेडियोकंपनीकेनिर्देशक, यारेडियोकंपनीकेनिर्देशककेसाथअपनीशिकायतोंपरचर्चाकीजिए",0.7663951,0.7435777
