chichewa,english
"0,""alliance one international, inc""","0,""alliance one international, inc"""
"1, inapangidwa kuti iwone zokhoma za bizinesi za zaka za mu 21st century ndipo ndife odzipereka kukumana ndi zobetchera mopambana ku mbali zonse","1, was created to meet the challenges of a 21st century business environment and we are committed to meeting those challenges successfully on all fronts"
"2,"" choyambirira cha zimenezo, ndikudzipereka kwathu popanga bizinesi mwa chilungamo chathunthu""","2, foremost among them is our commitment to conduct our business with complete integrity"
"3,""kudziwika kwathu kwapadziko lonse chifukwa cha chikhalidwe chathu chabwino ndi kudalilika pochita bizinesi, kumene kwapangidwa ndi anthu ambiri kwa zaka zambiri, kudzayesedwa ndi kuonedwa mu bizinesi iliyonse imene tikupanga""","3,""our worldwide reputation for honest and reliable business conduct, built by so many people over so many years, will be tested and proven in each business transaction we make"""
"4,"" tili pa dziko lonse lapansi, mwamphamvu ndiponso timalondola zimene kasitomala wafuna koposa kale""","4,"" we are more global, dynamic and customer-driven than ever before"""
"5, koma chikhumbokhumbo chopambana ndi kukwaniritsa kasitomala chimayamba ndikutsirizika ndi kudzipereka kwathu potsatila malamulo ndi kuchita mwachilungamo ndipo ngati kampani imene ikupezeka pa dziko lonse lapansi tikuyenera kupanga ndikutsatira malamulo amene akonzedwa a padziko lonse","5, but our quest for competitive excellence and customer satisfaction begins and ends with our commitment to lawful and ethical conduct and as a global company we must create and follow a set of global rules"
"6,m’ndandanda wa malamulo athu wochitira bizinesi ndi umene ukutitsogoza ku mchitidwe wotsatira malamulo moyenera","6,our code of business conduct is our guide to ethical and lawful conduct"
"7, ukufotokoza bwino za zimene kampani yikuyembekeza kumbali ya chikhalidwe mokhudzana ndi malamulo ndizoyenera kutsatiridwa ndi wolembedwa ntchito aliyense – chipangano choyenera kutsatilidwa pamene wina walembedwa ntchito","7,"" it clearly defines the company’s expectations for legal and ethical behavior on the part of every employee – an obligation that is, in fact, a condition of employment"""
"8,"" ma dayilekitala a aoi, ma ofisala, antchito ndi wothandizira akuyenera kupanga bizinesi mogwirizana ndi zoyenera kutsatiridwa, chilungamo kumbali ya chuma ndi ndalama""","8,"" aoi directors, officers, employees and agents are expected to conduct the company’s business according to the highest standards of professional ethics, financial integrity and legality"""
"9,""tonse timakhala ndi zinthu zimene zimafuna nthawi yathu, koma uthenga umene uli mu m’ndandanda wa malamulo (cbc) udzagwira ntchito ngati mwatenga nthawi ndikuyesetsa kuwuwerenga ndikuchita mobvomerezana ndi ndondomekoyi pochita bizinesi""","9,""all of us have many demands on our time, but the information contained in the cbc will only be effective if you take the time and make the effort to read the materials and apply these standards of conduct in your business activities"""
"10,"" ngati mbali ya malamulowa siyikumveka kapena muli ndi mafunso pa zimene mukukumana nazo, mukambirane za madandaulo anuwo ndi bwana wanu, woyimilira depatimenti ya oyang’anira ogwira ntchito, ofisala wa corporate compliance kapena dayilekita wa corporate compliance""","10,"" if any aspect of the cbc is unclear to you or if you have questions about a situation you are facing, your concerns can be discussed directly with your supervisor, human resource representative or the corporate compliance director"""
"11, mungathenso kuyimba foni pa nambala yowona za compliance ya alliance one kuchokera kwina kuli konse kumene muli pa dziko lonse lapansi kudzera ku nambala ya ulere kapena pa webu sayiti","11, you may also access alliance one’s compliance helpline from each of our locations worldwide through either the toll-free telephone number or the website"
