chichewa,english
"alliance one international, inc","alliance one international, inc"
inapangidwa kuti iwone zokhoma za bizinesi za zaka za mu 21st century ndipo ndife odzipereka kukumana ndi zobetchera mopambana ku mbali zonse,was created to meet the challenges of a 21st century business environment and we are committed to meeting those challenges successfully on all fronts
"choyambirira cha zimenezo, ndikudzipereka kwathu popanga bizinesi mwa chilungamo chathunthu",foremost among them is our commitment to conduct our business with complete integrity
"kudziwika kwathu kwapadziko lonse chifukwa cha chikhalidwe chathu chabwino ndi kudalilika pochita bizinesi, kumene kwapangidwa ndi anthu ambiri kwa zaka zambiri, kudzayesedwa ndi kuonedwa mu bizinesi iliyonse imene tikupanga","our worldwide reputation for honest and reliable business conduct, built by so many people over so many years, will be tested and proven in each business transaction we make"
"tili pa dziko lonse lapansi, mwamphamvu ndiponso timalondola zimene kasitomala wafuna koposa kale","we are more global, dynamic and customer-driven than ever before"
koma chikhumbokhumbo chopambana ndi kukwaniritsa kasitomala chimayamba ndikutsirizika ndi kudzipereka kwathu potsatila malamulo ndi kuchita mwachilungamo ndipo ngati kampani imene ikupezeka pa dziko lonse lapansi tikuyenera kupanga ndikutsatira malamulo amene akonzedwa a padziko lonse,but our quest for competitive excellence and customer satisfaction begins and ends with our commitment to lawful and ethical conduct and as a global company we must create and follow a set of global rules
m’ndandanda wa malamulo athu wochitira bizinesi ndi umene ukutitsogoza ku mchitidwe wotsatira malamulo moyenera,our code of business conduct is our guide to ethical and lawful conduct
ukufotokoza bwino za zimene kampani yikuyembekeza kumbali ya chikhalidwe mokhudzana ndi malamulo ndizoyenera kutsatiridwa ndi wolembedwa ntchito aliyense – chipangano choyenera kutsatilidwa pamene wina walembedwa ntchito,"it clearly defines the company’s expectations for legal and ethical behavior on the part of every employee – an obligation that is, in fact, a condition of employment"
"ma dayilekitala a aoi, ma ofisala, antchito ndi wothandizira akuyenera kupanga bizinesi mogwirizana ndi zoyenera kutsatiridwa, chilungamo kumbali ya chuma ndi ndalama","aoi directors, officers, employees and agents are expected to conduct the company’s business according to the highest standards of professional ethics, financial integrity and legality"
"tonse timakhala ndi zinthu zimene zimafuna nthawi yathu, koma uthenga umene uli mu m’ndandanda wa malamulo (cbc) udzagwira ntchito ngati mwatenga nthawi ndikuyesetsa kuwuwerenga ndikuchita mobvomerezana ndi ndondomekoyi pochita bizinesi","all of us have many demands on our time, but the information contained in the cbc will only be effective if you take the time and make the effort to read the materials and apply these standards of conduct in your business activities"
"ngati mbali ya malamulowa siyikumveka kapena muli ndi mafunso pa zimene mukukumana nazo, mukambirane za madandaulo anuwo ndi bwana wanu, woyimilira depatimenti ya oyang’anira ogwira ntchito, ofisala wa corporate compliance kapena dayilekita wa corporate compliance","if any aspect of the cbc is unclear to you or if you have questions about a situation you are facing, your concerns can be discussed directly with your supervisor, human resource representative or the corporate compliance director"
mungathenso kuyimba foni pa nambala yowona za compliance ya alliance one kuchokera kwina kuli konse kumene muli pa dziko lonse lapansi kudzera ku nambala ya ulere kapena pa webu sayiti,you may also access alliance one’s compliance helpline from each of our locations worldwide through either the toll-free telephone number or the website
kukolana kwa zofuna za munthu ndi kampani kumachitika pamene zofuna zamunthu zikuwoneka kuti zikukhulana ndi zochita za kampani,a conflict of interest occurs when an individual’s private interest interferes– or has the appearance of interfering – with the interests of the company as a whole
"kukolanaku kungathe kukula ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira apanga zinthu zimene zingapangitse kugwira ntchito kwake bwino bwino kuti kusokonezeke","a conflict situation can arise if a director, officer, employee, or agent takes actions or has interests that may make it difficult to perform his or her job objectively and effectively"
"mkangano ungakhalepo ngati dayilekitala, ofisala, wogwira ntchito kapena wothandizira kapena a pa banja lake alandila ma benefiti molingana ndi ntchito yake ku kampani","conflicts of interest also arise if a director, officer, employee, agent or a member of his or her family, receives improper personal benefits as a result of his or her position with the company"
"kugulitsa masheya, kuphumitsa kampani mwayi wa bizinesi, kupanga bizinesi ndi zina mwa zinthu zomwe zingapangitse kuti pakhale kukolana pakati pazofuna zanu ndi zakampani","securities trading, corporate opportunities and outside employment, business interests & investments are examples of specific issue-areas where you may encounter conflicts of interest"
zinthu zomwe zingapangitse kuti pakhale kukolana zikuyenera kunenedwa polemba kalata kwa ccdcco kapena clo komanso mapepala ake onse akuyenera kuperekedwa molingana ndi malamulo,"potential conflicts of interest and related party transactions must be disclosed in writing to the ccd or clo, and properly documented per company policy"
kukhala ndi zinthu zopangitsa kuti pakhale kukolana sikuswa malamulo athu akagwiridwe ka ntchito koma kulephera kunena ku kampani za zinthuzo,"having a conflict of interest is not necessarily a violation of our code of business conduct, but failing to disclose it is"
wotheka ndi wowona,potential or actual
"zolengeza chiongola dzanja kapena zongoyerekeza, kusintha, zimene zinalengezedwa kale kapena zongoyerekeza;","earnings announcements or estimates, or changes to previously released announcements or estimates;"
zotsatira za chuma;,financial results;
zolembedwa ndi zowonjezeredwa ku ngongole zamgonagona;,write-downs and additions to reserves for bad debts;
kukuza kapena kuchepetsa magwiridwe a ntchito;,expansion or downsizing of operations;
"katundu wa tsopano, zopangidwa ndi zozindikiridwa mwatsopano;","new products, inventions or discoveries;"
milandu yayikulu kapena zochita za boma,major litigation or government actions;
"kuphatikizana zogulidwa, zonenera malonda, kugwirira ntchito limodzi ndi makampani ena kapena zosintha ku katundu wa kampani;","mergers, acquisitions, tender offers, joint ventures or changes in assets;"
"zosintha pa zimene akatswri ayamikira kapena mlingo wa ngongole; zichitochito zokhudza ma sheya a kampani (monga kulephera kwa kubwezera ma sheya, kuitanira ma sheya ogulitsidwa kuti kampani iwagulenso, mapulani ogulanso katundu wogawidwa, kusintha kwa cholowa, kusintha kwa umwini wa ma sheya;",changes in analyst recommendations or debt ratings;
kusintha kwa oyendetsa kampani ndi njira zatsopano,events regarding the company’s securities
zokhudza kayendetsedwe ka kampani;,changes in control of the company or extraordinary management developments;
kubwereka ndalama kopitiriza muyeso;,extraordinary borrowing;
vuto la kapezedwe ka ndalama,liquidity problems; and
zosintha za ma auditor kapena chidziwitso cha kampani chochokera kwa auditor kuti kampani siyingadalirenso lipoti ya auditor,changes in auditors or auditor notification that the company may no longer rely on an audit report
ziphuphu ndi kuswa malamulo,"bribery is illegal, whether the bribe is offered to a government official (public sector bribery), or a private company or citizen (private sector bribery)"
zimaononga madera amene tikugwirako ntchito,it harms the communities where we operate
tikuyenera kutenga nawo mbali pa njira zothandiza kuthetsa ziphuphu,we must actively support efforts to stop bribery
aliyense wa ife ayenera kutsatira malamulo onse odana ndi ziphuphu,each of us must strictly comply with all domestic and extraterritorial anti-bribery laws
awa ndi malamulo a dziko limodzi amene amaletsa katangale mu mayiko ena,extraterritorial anti-bribery laws are the laws of one country that prohibit bribery in other countries
"ngakhale ziphuphu ndi kuswa malamulo ndikulakwira malamulo a kampani, chiphuphu chitaperekedwa kwa wogwira ntchito m’boma kapena munthu wamba, kasitomala kapena sapulaya, wogwira ntchito ku alliance one akuyenera kudziwa zimenezi","although bribery is illegal and against company policy regardless of whether the bribe is offered to a government official or a private citizen, customer or supplier, unique concerns exist in each instance that alliance one employees need to be aware of"
"ndalama zofanana ndi ndalama, kapena ma benefiti (ma travelling cheque ndi ma benefiti);","cash, cash equivalents, or other benefits (travelers checks, travel benefits);"
ntchito zopanga munthu yekha;,personal services;
ntchito kapena kupatsidwa,employment or the offer of employment;
kuthandiza wosowa ukudziwa kuti upindulepo;,charitable contributions for the benefit of the official;
zopereka kundale ; ndi,political contributions; and
"kugwiritsa ntchito katundu wa kampani (kuphatikizapo ndege, nyumba, magalimoto, maboti, ndi zina zotere","use of the company’s facilities (including but not limited to aircraft, houses, vehicles, boats, etc"
) ndi wogwira ntchito m’boma kapena a ntchito awo kuti atukule ndi kuwonetsa katundu wa kampani ndi ntchito zake,") by government officials or their staff other than for purposes of promoting, demonstrating or explaining the company’s products or services"
kuba ndalama kumachitika pamene munthu atenga zimene wazipeza atalakwa kuti ziwoneke ngati sizinapezeke munjira yolakwika,money laundering occurs when persons try to make the proceeds of crime appear legitimate by filtering them through non-criminal ventures
malamulo a mu mayiko ambiri amaletsa dala kugwiritsa ntchito zinthu zimene zapezeka munjira yolakwika,laws in many countries prohibit acceptance or use of the proceeds of criminal activities
mukuyenera kutsatira malamulo onse amene akukamba za kuba ndalama ndi malamulo amene akufuna kuti inu munene pamene mwaona ndalama ndi zinthu zina zolakwika,you must comply with all applicable money laundering laws and laws that require reporting of cash and other suspicious transactions
"mukuyenera kupeza zokwanira pa makasitomala, ma sapulaya ndi ena amene mukuchita nawo bizinesi kuti mudziwe kumene ndalama zawo zikuchokera kumabizinesi ovomerezeka","you must use due diligence to obtain enough information about customers, suppliers, and others with whom you have business relationships to be satisfied that their money comes from legitimate business activities"
mukuyenera kutsatira malamulo onse okhudzana ndi ndalama,you must comply with all rules concerning acceptable forms of payment
ndi zosavomerezeka ndi malamulo a kampani kulandira ndalama ndi ma invoice,it is against company policy to accept cash payment of any invoice
"ndipo ndi zosavomerezeka ndi lamulo la kampani, pokha pokha ngati pali china chake ndiponso ndi ulangizi wa zamalamulo wa kampani, kulandira ndalama monga ngati ma money order kapena ma travelling cheque kapena kulandira ndalama kwa amene simukumudziwa","it is also against company policy, except under extraordinary circumstances with the approval of the ccd, to accept payments in cash equivalents such as money orders or travelers checks, or to accept checks from unknown third parties"
ngati ndalama zoterozo ndizovuta kuzipewa mulandire chilolezo kuchokera kwa ofisala wa ku kampani ndikutsatila zonse zimene zikugwilizana ndi malamulo a united states internal revenue service,"if a cash or similar transaction is unavoidable, you must take care to comply with the detailed and complex reporting obligations associated with such transactions, including obligations imposed by the united states internal revenue service"
"mukuyenera kuwonetsetsa kuti makasitomala wonse, ma sapulaya, ndi ena wonse amene mumachita nawo bizinesi ali wololera kusunga zonse zoyenera ndikupereka malipoti","you must to the extent possible be sure all customers, suppliers, and others with whom you have a business relationship are willing to comply in full with all record keeping duties and are willing to accurately report all aspects of a transaction"
dziwani ndi kuchita monga mwa malamulo,know and live the standards
podziwa ndikumvetsetsa ndikulondola malamulo a kampaniwa ndi zimene zingatipangitse kukhala a chitsanzo,"by knowing, understanding, and following applicable laws and company policies, as well as our core values, each of us can serve as a role model"
dziwani lamulo ndikufunsa mafunso,know the law and ask tough questions
mukuyenera kudziwa malamulo amene akukhudzana ndi ntchito ndi udindo wanu,you are expected to be familiar with the laws that apply to your specific job function and level of responsibility
"ngati simukudziwa lamulo la kampani, ngati lilipo, funsani a cco kapena ccm a kampani yanu","if you are not sure whether a law or company policy applies, or whether it exists at all, ask the company’s chief legal officer or ccd"
musamangoganizira zinthu,don’t make assumptions
musaganize kuti akulu akulu akudziwa kapena sakusamala za chinthu china choncho muyenera kufunsa kuti mudziwe,do not assume that management already knows or doesn’t care about an issue or situation
"komanso, musaganize kuti china chake sichikonzedwa","also, do not assume that no action will be taken"
akulu akulu a aoi ndi wodzipereka kuwonetsetsa kuti za malamulo zimene zikuyenera kuchitika zikutsatidwa,aoi management is dedicated to ensuring that the standards of legal and ethical behavior are upheld
tifuna mutiwuze ngati pena palakwika,we want you to tell us if something is wrong
"musangoyang’anira zolakwikazi, mukanene","don’t ignore violations, report them"
tikuyenera kuyika pa mtima malamulo akampani,we all need to take the law and company policies seriously
"ngati mukuwona kuti wina akuphwanya malamulowa, tsatirani njira zoyenera kuti muzikonze","if you think someone may be violating a law or policy, please take steps to address the situation"
"nenani kwa ccd a kampani kapena kwa manijala wowona za compliance wa mu dera lanu, wowona za audit mu bodi ya ma dayilekitala kapena yimbani foni panambala ya ulere (mobisa ngati simukufuna kudziwika)","report it to management, the ccd, your local compliance manager, the audit committee of the board of directors, or the compliance helpline (anonymously if you wish)"
musakakamizidwe,don’t be pressured
"sikololedwa kuphwanya lamulo, kapena kukakamizidwa kuti mutero – ngakhale kuphwanya lamulo kungathandize kuti mukwaniritse zolinga zanu","it is never acceptable to violate a law or policy, nor should you ever feel encouraged or pressured to do so – even if you think the violation will improve the bottom line or help to meet a performance goal"
